node,state
1,A
2,HT
3,W
4,W
5,A
6,W
7,W
8,W
9,AW
10,A
11,W
12,A
13,W
14,W
15,W
16,W
17,ZA
18,AW
19,W
20,W
21,AW
22,A
23,TA
24,W
25,PZAW
26,W
27,TA
28,Z
29,W
30,A
31,A
32,AW
33,W
34,A
35,A
36,A
37,W
38,A
39,AW
40,W
41,W
42,A
43,P
44,W
45,W
46,W
47,W
48,HTPA
49,W
50,W
51,A
52,W
53,W
54,W
55,A
56,W
57,HNTFC
58,H
59,ZA
60,HTAW
61,N
62,TZAW
63,W
64,C
65,C
66,C
67,C
68,C
69,C
70,C
71,C
72,C
73,C
74,C
75,C
76,C
77,C
78,C
79,C
80,C
81,FC
82,C
83,C
84,C
85,C
86,C
87,C
88,C
89,C
90,FC
91,C
92,C
93,C
94,C
95,C
96,C
97,C
98,C
99,C
100,A
101,AW
102,A
103,A
104,HTZAW
105,N
106,Z
107,W
108,TPZA
109,AW
110,W
111,W
112,W
113,W
114,N
115,T
116,A
117,W
118,F
119,C
120,C
121,Z
122,P
123,AW
124,ZAW
125,C
126,HTPZAW
127,W
128,A
129,C
130,P
131,W
132,F
133,W
134,W
135,A
136,W
137,W
138,W
139,W
140,W
141,TW
142,AW
143,W
144,W
145,W
146,W
147,W
148,AW
149,AW
150,W
151,AW
152,W
153,W
154,W
155,W
156,W
157,W
158,W
159,W
160,AW
161,A
162,A
163,AW
164,W
165,W
166,TAW
167,W
168,AW
169,ZA
170,AW
171,AW
172,AW
173,A
174,W
175,W
176,W
177,AW
178,AW
179,A
180,A
181,A
182,W
183,W
184,W
185,W
186,W
187,W
188,W
189,AW
190,AW
191,AW
192,W
193,W
194,W
195,HTAW
196,HNTFC
197,HTAW
198,NW
199,NCW
200,CW
201,W
202,C
203,C
204,C
205,C
206,C
207,C
208,C
209,C
210,C
211,C
212,C
213,C
214,C
215,C
216,C
217,C
218,C
219,C
220,C
221,C
222,C
223,C
224,C
225,C
226,C
227,C
228,C
229,C
230,C
231,C
232,C
233,C
234,C
235,C
236,C
237,N
238,NAW
239,A
240,A
241,A
242,A
243,NW
244,W
245,ZW
246,ZW
247,W
248,W
249,W
250,W
251,W
252,TAW
253,TA
254,PFCZ
255,FCZ
256,FC
257,C
258,W
259,HTPZAW
260,W
261,CAW
262,W
263,W
264,AW
265,W
266,FCW
267,PFW
268,PW
269,AW
