"","node","state","prob"
"1",136,"C_A_W",1
"2",137,"C_W",1
"3",138,"W",1
"4",139,"W",1
"5",140,"A_W",1
"6",141,"H_N_W",1
"7",142,"A_W",1
"8",143,"N_W",1
"9",144,"W",1
"10",145,"W",1
"11",146,"W",1
"12",147,"W",1
"13",148,"A_W",1
"14",149,"W",1
"15",150,"A_W",1
"16",151,"A_W",1
"17",152,"W",1
"18",153,"W",1
"19",154,"W",1
"20",155,"W",1
"21",156,"W",1
"22",157,"W",1
"23",158,"W",1
"24",159,"W",1
"25",160,"A_W",1
"26",161,"A",1
"27",162,"A",1
"28",163,"A_W",1
"29",164,"W",1
"30",165,"W",1
"31",166,"T_A_W",1
"32",167,"A_W",1
"33",168,"Z_A_W",1
"34",169,"Z_A",1
"35",170,"A_W",1
"36",171,"A_W",1
"37",172,"A_W",1
"38",173,"A",1
"39",174,"W",1
"40",175,"A_W",1
"41",176,"A_W",1
"42",177,"A_W",1
"43",178,"A_W",1
"44",179,"A",1
"45",180,"A",1
"46",181,"A",1
"47",182,"W",1
"48",183,"W",1
"49",184,"W",1
"50",185,"W",1
"51",186,"W",1
"52",187,"W",1
"53",188,"W",1
"54",189,"A_W",1
"55",190,"A_W",1
"56",191,"A_W",1
"57",192,"W",1
"58",193,"W",1
"59",194,"N",1
"60",195,"H_N_T_A",1
"61",196,"H_N_T_F_C",1
"62",197,"A",1
"63",198,"N",1
"64",199,"N_A_W",1
"65",200,"T_C_Z_A_W",1
"66",201,"T_Z_A_W",1
"67",202,"C",1
"68",203,"C",1
"69",204,"C",1
"70",205,"C",1
"71",206,"C",1
"72",207,"C",1
"73",208,"C",1
"74",209,"C",1
"75",210,"C",1
"76",211,"C",1
"77",212,"C",1
"78",213,"C",1
"79",214,"C",1
"80",215,"C",1
"81",216,"C",1
"82",217,"C",1
"83",218,"C",1
"84",219,"C",1
"85",220,"C",1
"86",221,"C",1
"87",222,"C",1
"88",223,"F_C",1
"89",224,"C",1
"90",225,"C",1
"91",226,"C",1
"92",227,"C",1
"93",228,"C",1
"94",229,"C",1
"95",230,"C",1
"96",231,"C",1
"97",232,"C",1
"98",233,"C",1
"99",234,"C",1
"100",235,"C",1
"101",236,"C",1
"102",237,"N",1
"103",238,"N_W",1
"104",239,"H_Z_A_W",1
"105",240,"A",1
"106",241,"H_Z_A_W",1
"107",242,"H_Z_A_W",1
"108",243,"N_W",1
"109",244,"W",1
"110",245,"A_W",1
"111",246,"Z_W",1
"112",247,"W",1
"113",248,"W",1
"114",249,"W",1
"115",250,"W",1
"116",251,"C_Z_W",1
"117",252,"T_Z_A_W",1
"118",253,"T_Z_A",1
"119",254,"P_F_C_Z",1
"120",255,"F_C_Z",1
"121",256,"F_C",1
"122",257,"C",1
"123",258,"A_W",1
"124",259,"C_Z_A_W",1
"125",260,"C_Z_A_W",1
"126",261,"C_Z_A_W",1
"127",262,"W",1
"128",263,"A_W",1
"129",264,"A_W",1
"130",265,"P_W",1
"131",266,"P_W",1
"132",267,"P_F_W",1
"133",268,"P_W",1
"134",269,"A_W",1
