AW->A,AW	AW->W,AW	CA->A,CA	CA->C,CA	CAW->A,CAW	CAW->C,CAW	CAW->W,CAW	CW->C,CW	CW->W,CW	CZ->C,CZ	CZ->Z,CZ	CZA->A,CZA	CZA->Z,CZA	CZAW->A,CZAW	CZAW->C,CZAW	CZAW->W,CZAW	CZAW->Z,CZAW	CZW->C,CZW	CZW->W,CZW	FAW->A,FAW	FAW->F,FAW	FC->C,FC	FC->F,FC	FCA->C,FCA	FCAW->W,FCAW	FCW->C,FCW	FCW->W,FCW	FCZ->F,FCZ	FCZ->Z,FCZ	FCZAW->A,FCZAW	FCZAW->W,FCZAW	FCZW->F,FCZW	FCZW->W,FCZW	FW->F,FW	FW->W,FW	FZA->A,FZA	HA->A,HA	HA->H,HA	HAW->A,HAW	HAW->H,HAW	HAW->W,HAW	HC->C,HC	HC->H,HC	HCA->A,HCA	HCAW->A,HCAW	HCAW->C,HCAW	HCAW->H,HCAW	HCW->W,HCW	HF->H,HF	HFA->A,HFA	HFAW->A,HFAW	HFAW->H,HFAW	HFC->C,HFC	HFC->H,HFC	HFCW->W,HFCW	HFZW->W,HFZW	HN->H,HN	HNAW->A,HNAW	HNAW->H,HNAW	HNC->C,HNC	HNC->H,HNC	HNF->H,HNF	HNFC->C,HNFC	HNFC->H,HNFC	HNFCA->A,HNFCA	HNFCW->C,HNFCW	HNFW->W,HNFW	HNPFCW->W,HNPFCW	HNPW->W,HNPW	HNT->H,HNT	HNT->T,HNT	HNTAW->N,HNTAW	HNTAW->T,HNTAW	HNTC->C,HNTC	HNTC->H,HNTC	HNTC->T,HNTC	HNTF->H,HNTF	HNTF->T,HNTF	HNTFC->C,HNTFC	HNTFC->F,HNTFC	HNTFC->H,HNTFC	HNTFC->T,HNTFC	HNTFCA->C,HNTFCA	HNTFCA->H,HNTFCA	HNTFCW->C,HNTFCW	HNTFCW->H,HNTFCW	HNTPFC->C,HNTPFC	HNTPFC->H,HNTPFC	HPA->A,HPA	HPAW->A,HPAW	HPAW->W,HPAW	HPCW->W,HPCW	HPFCW->W,HPFCW	HPW->H,HPW	HPW->P,HPW	HPW->W,HPW	HPZA->A,HPZA	HPZAW->A,HPZAW	HPZAW->H,HPZAW	HPZAW->W,HPZAW	HT->H,HT	HT->T,HT	HTA->A,HTA	HTA->H,HTA	HTA->T,HTA	HTAW->A,HTAW	HTAW->H,HTAW	HTAW->T,HTAW	HTAW->W,HTAW	HTC->C,HTC	HTC->H,HTC	HTC->T,HTC	HTCAW->A,HTCAW	HTCW->C,HTCW	HTCW->H,HTCW	HTCZW->C,HTCZW	HTF->H,HTF	HTF->T,HTF	HTFA->A,HTFA	HTFA->F,HTFA	HTFA->T,HTFA	HTFAW->H,HTFAW	HTFC->C,HTFC	HTFC->H,HTFC	HTFC->T,HTFC	HTFCA->A,HTFCA	HTFCW->C,HTFCW	HTFZW->F,HTFZW	HTPA->A,HTPA	HTPAW->A,HTPAW	HTPAW->H,HTPAW	HTPAW->T,HTPAW	HTPAW->W,HTPAW	HTPFC->C,HTPFC	HTPW->W,HTPW	HTPZAW->A,HTPZAW	HTPZAW->H,HTPZAW	HTPZAW->W,HTPZAW	HTPZW->W,HTPZW	HTW->H,HTW	HTW->T,HTW	HTW->W,HTW	HTZA->A,HTZA	HTZA->T,HTZA	HTZA->Z,HTZA	HTZAW->A,HTZAW	HTZAW->H,HTZAW	HTZAW->W,HTZAW	HTZAW->Z,HTZAW	HTZW->H,HTZW	HTZW->W,HTZW	HW->H,HW	HW->W,HW	HZ->H,HZ	HZA->A,HZA	HZA->H,HZA	HZAW->A,HZAW	HZAW->H,HZAW	HZAW->W,HZAW	HZAW->Z,HZAW	HZW->H,HZW	HZW->W,HZW	NA->A,NA	NAW->A,NAW	NAW->N,NAW	NC->C,NC	NFC->C,NFC	NFC->N,NFC	NFCW->W,NFCW	NPFCAW->W,NPFCAW	NPFCW->W,NPFCW	NPFCZW->W,NPFCZW	NT->T,NT	NTC->C,NTC	NTC->T,NTC	NTF->T,NTF	NTFC->C,NTFC	NTFC->T,NTFC	NTPFCW->W,NTPFCW	NTW->W,NTW	NW->N,NW	NW->W,NW	PA->A,PA	PA->P,PA	PAW->A,PAW	PAW->P,PAW	PAW->W,PAW	PC->C,PC	PC->P,PC	PCAW->W,PCAW	PCW->C,PCW	PCW->W,PCW	PCZ->P,PCZ	PCZW->W,PCZW	PF->F,PF	PF->P,PF	PFAW->W,PFAW	PFC->C,PFC	PFC->P,PFC	PFCAW->W,PFCAW	PFCW->C,PFCW	PFCW->P,PFCW	PFCW->W,PFCW	PFCZ->P,PFCZ	PFCZA->P,PFCZA	PFCZAW->W,PFCZAW	PFCZW->W,PFCZW	PFW->F,PFW	PFW->W,PFW	PFZ->P,PFZ	PFZAW->P,PFZAW	PFZW->P,PFZW	PFZW->W,PFZW	PW->P,PW	PW->W,PW	PZ->Z,PZ	PZA->A,PZA	PZAW->A,PZAW	PZAW->P,PZAW	PZAW->W,PZAW	PZAW->Z,PZAW	PZW->P,PZW	PZW->W,PZW	PZW->Z,PZW	TA->A,TA	TA->T,TA	TAW->A,TAW	TAW->T,TAW	TAW->W,TAW	TC->C,TC	TC->T,TC	TFC->C,TFC	TFC->T,TFC	TFCW->W,TFCW	TPAW->A,TPAW	TPAW->T,TPAW	TPAW->W,TPAW	TPFCW->W,TPFCW	TPW->W,TPW	TPZA->A,TPZA	TPZAW->A,TPZAW	TPZAW->W,TPZAW	TPZAW->Z,TPZAW	TPZW->W,TPZW	TPZW->Z,TPZW	TW->T,TW	TW->W,TW	TZ->Z,TZ	TZA->A,TZA	TZA->T,TZA	TZA->Z,TZA	TZAW->A,TZAW	TZAW->T,TZAW	TZAW->W,TZAW	TZAW->Z,TZAW	TZW->T,TZW	TZW->W,TZW	TZW->Z,TZW	ZA->A,ZA	ZA->Z,ZA	ZAW->A,ZAW	ZAW->W,ZAW	ZAW->Z,ZAW	ZW->W,ZW	ZW->Z,ZW
1	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
7	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
8	4	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
10	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
