A->A,A	C->C,C	F->F,F	H->H,H	P->P,P	T->T,T	W->W,W	Z->Z,Z
1	10	35	0	0	0	0	18	0
2	7	35	0	0	0	0	25	0
3	5	35	0	0	0	0	25	0
4	6	34	0	0	0	0	23	0
5	4	35	0	0	0	0	26	0
6	5	35	0	0	0	0	25	0
7	3	35	0	0	0	0	23	0
8	5	34	0	0	0	0	24	0
9	7	35	0	0	0	0	21	0
10	5	32	0	0	0	0	23	0
11	9	34	0	0	0	0	16	0
12	7	35	0	0	0	0	25	0
13	6	35	0	0	0	0	24	0
14	13	35	0	0	0	0	20	0
15	10	35	0	0	0	0	21	0
16	9	35	0	0	0	0	22	0
17	7	35	0	0	0	0	21	0
18	4	34	0	0	0	0	25	0
19	4	35	0	1	0	0	22	0
20	9	34	0	0	0	0	21	0
21	2	35	0	0	0	0	27	0
22	5	35	0	0	0	0	23	0
23	4	35	0	0	0	0	27	0
24	4	35	0	0	0	0	27	0
25	5	35	0	0	0	0	26	0
26	6	34	0	0	0	0	22	0
27	2	34	0	0	0	0	25	0
28	7	34	0	0	0	0	20	0
29	4	35	0	0	0	0	25	0
30	4	34	0	0	0	0	28	0
31	4	35	0	0	0	0	30	0
32	11	34	0	0	0	0	22	0
33	7	35	0	0	0	0	20	0
34	9	35	0	0	0	0	18	0
35	11	34	0	0	0	0	21	0
36	2	34	0	0	0	0	26	0
37	3	35	0	0	0	0	27	0
38	10	35	0	0	0	0	19	0
39	8	35	0	0	0	0	26	0
40	5	34	0	0	0	0	21	0
41	6	35	0	0	0	0	28	0
42	7	35	0	0	0	0	22	0
43	7	35	0	0	0	0	22	0
44	6	35	0	0	0	0	21	0
45	5	34	0	0	0	0	24	0
46	5	35	0	0	0	0	24	0
47	6	33	0	0	0	0	20	0
48	5	33	0	0	0	0	25	0
49	7	33	0	0	0	0	23	0
50	8	35	0	0	0	1	21	0
51	5	35	0	0	0	0	29	0
52	6	34	0	0	0	0	23	0
53	6	35	0	0	0	0	24	0
54	8	34	0	0	0	0	20	0
55	3	34	0	0	0	0	24	0
56	3	34	0	0	0	0	27	0
57	3	35	0	0	0	0	29	0
58	5	34	0	0	0	0	22	0
59	8	34	0	0	0	0	22	0
60	9	35	0	0	0	0	25	0
61	4	35	0	0	0	0	28	0
62	9	35	0	0	0	0	20	0
63	4	35	0	0	0	0	27	0
64	10	34	0	0	0	0	21	0
65	11	35	0	0	0	0	17	0
66	5	35	0	0	0	0	26	1
67	3	35	0	0	0	0	28	0
68	8	35	0	0	0	0	22	1
69	6	34	0	0	0	0	23	0
70	6	35	0	0	0	0	21	0
71	7	35	0	0	0	0	22	0
72	3	34	0	0	0	0	26	0
73	4	34	0	0	0	0	28	0
74	5	35	0	0	0	0	17	0
75	6	35	0	0	1	0	22	0
76	5	32	0	0	0	0	18	0
77	10	34	0	0	0	0	21	0
78	5	35	0	0	0	0	21	0
79	8	35	0	0	0	0	26	0
