"","sp.grid.list.long","Freq"
"1","2529 CC",1
"2","2530 CB",1
"3","2828 DB",1
"4","2829 CC",1
"5","2831 DC",1
"6","2832 AB",2
"7","2832 AD",1
"8","2832 CB",1
"9","2929 AA",1
"10","2929 AB",1
"11","2929 AD",1
"12","2929 BC",1
"13","2929 CA",1
"14","2929 CB",1
"15","2929 CC",1
"16","2930 DD",1
"17","3018 AC",3
"18","3018 CB",1
"19","3029 DA",1
"20","3030 BC",2
"21","3030 CC",1
"22","3117 BB",2
"23","3118 DC",1
"24","3119 CA",2
"25","3126 DD",1
"26","3127 AB",1
"27","3128 AA",1
"28","3128 CA",1
"29","3129 BD",1
"30","3129 DA",1
"31","3130 AA",2
"32","3218 BB",3
"33","3218 CD",1
"34","3218 DB",6
"35","3218 DC",1
"36","3218 DD",1
"37","3219 AA",7
"38","3219 AC",6
"39","3219 CA",4
"40","3219 CB",2
"41","3219 CC",2
"42","3219 CD",2
"43","3220 AB",1
"44","3223 BD",1
"45","3224 AA",1
"46","3225 DA",1
"47","3226 BD",1
"48","3226 DB",3
"49","3227 CA",3
"50","3227 CC",1
"51","3227 CD",1
"52","3227 DD",1
"53","3228 CB",3
"54","3318 AB",1
"55","3318 AD",3
"56","3318 BB",4
"57","3318 BC",2
"58","3318 CD",14
"59","3318 DA",2
"60","3318 DB",3
"61","3318 DC",3
"62","3318 DD",12
"63","3319 AA",7
"64","3319 AB",7
"65","3319 AC",10
"66","3319 AD",10
"67","3319 BA",2
"68","3319 BB",1
"69","3319 BC",6
"70","3319 BD",2
"71","3319 CA",16
"72","3319 CB",9
"73","3319 CC",14
"74","3319 CD",5
"75","3319 DA",4
"76","3319 DC",8
"77","3319 DD",1
"78","3320 AB",2
"79","3320 BC",2
"80","3320 CD",7
"81","3320 DA",3
"82","3320 DB",1
"83","3320 DC",3
"84","3320 DD",6
"85","3321 AC",2
"86","3321 AD",4
"87","3321 BC",1
"88","3321 CB",1
"89","3321 CC",8
"90","3321 CD",3
"91","3321 DA",4
"92","3321 DC",1
"93","3321 DD",1
"94","3322 AC",4
"95","3322 AD",2
"96","3322 CC",4
"97","3322 CD",5
"98","3322 DB",2
"99","3322 DC",4
"100","3323 BA",1
"101","3323 BC",1
"102","3323 CA",1
"103","3323 CB",3
"104","3323 CC",1
"105","3323 DA",1
"106","3323 DC",6
"107","3323 DD",5
"108","3324 BD",1
"109","3324 CA",1
"110","3324 CB",4
"111","3324 CD",2
"112","3324 DB",3
"113","3324 DC",1
"114","3324 DD",1
"115","3325 AD",2
"116","3325 BC",2
"117","3325 BD",1
"118","3325 CA",2
"119","3325 CB",1
"120","3325 CC",1
"121","3325 CD",2
"122","3325 DB",1
"123","3325 DC",4
"124","3326 AA",1
"125","3326 AD",2
"126","3326 BC",4
"127","3326 BD",3
"128","3326 CB",2
"129","3326 DA",2
"130","3326 DB",1
"131","3327 AA",1
"132","3327 AC",1
"133","3327 BB",1
"134","3418 AB",15
"135","3418 AD",8
"136","3418 BA",3
"137","3418 BB",11
"138","3418 BD",17
"139","3418 CD",1
"140","3419 AA",15
"141","3419 AB",5
"142","3419 AC",10
"143","3419 AD",11
"144","3419 BA",9
"145","3419 BB",3
"146","3419 BC",2
"147","3419 BD",12
"148","3419 CB",2
"149","3419 DA",10
"150","3419 DB",4
"151","3419 DC",2
"152","3419 DD",2
"153","3420 AB",1
"154","3420 AC",2
"155","3420 AD",8
"156","3420 BC",7
"157","3420 BD",2
"158","3420 CA",2
"159","3420 CB",1
"160","3420 CC",2
"161","3421 AB",4
"162","3421 BA",1
"163","3421 BC",2
"164","3421 BD",3
"165","3422 AB",3
"166","3422 BB",2
"167","3423 AA",7
"168","3423 AB",2
"169","3424 AA",6
"170","3424 AB",2
"171","3424 BA",3
"172","3424 BB",6
