generation,rank_1,rank_2,swapAccepted
1000,1,3,1
2000,3,4,1
3000,1,4,1
4000,1,2,1
5000,3,4,1
6000,2,3,1
7000,1,3,0
8000,2,4,1
9000,1,4,1
10000,1,3,1
11000,1,3,1
12000,3,4,1
13000,1,3,1
14000,1,3,1
15000,1,2,1
16000,2,3,1
17000,3,4,1
18000,2,4,1
19000,2,3,1
20000,2,4,1
21000,2,4,1
22000,2,3,1
23000,1,2,1
24000,1,4,1
25000,1,2,1
26000,2,3,1
27000,1,3,1
28000,1,3,1
29000,2,3,1
30000,1,4,1
31000,1,2,1
32000,1,2,1
33000,1,2,1
34000,2,3,1
35000,1,3,0
36000,3,4,1
37000,1,3,0
38000,3,4,1
39000,3,4,1
40000,1,2,1
41000,2,4,1
42000,3,4,1
43000,3,4,1
44000,3,4,1
45000,2,4,1
46000,1,2,1
47000,1,4,1
48000,1,2,1
49000,1,2,1
50000,3,4,1
51000,1,3,1
52000,1,2,1
53000,1,3,1
54000,3,4,1
55000,1,4,1
56000,1,4,1
57000,1,2,1
58000,3,4,1
59000,3,4,1
60000,1,3,1
61000,1,2,1
62000,2,4,1
63000,2,4,1
64000,1,3,0
65000,1,4,0
66000,1,2,1
67000,2,4,1
68000,2,3,1
69000,2,3,1
70000,1,4,1
71000,2,3,1
72000,1,2,1
73000,2,3,1
74000,2,4,1
75000,2,3,1
76000,2,3,1
77000,2,3,1
78000,1,2,1
79000,1,4,0
80000,1,4,1
81000,1,2,1
82000,2,3,1
83000,3,4,1
84000,2,4,1
85000,1,2,1
86000,1,4,1
87000,1,3,1
88000,1,3,1
89000,1,3,1
90000,1,3,1
91000,2,3,1
92000,3,4,1
93000,2,3,0
94000,1,2,1
95000,1,4,1
96000,1,4,1
97000,2,3,1
98000,2,4,1
99000,2,3,1
100000,1,2,1
101000,1,3,1
102000,1,4,0
103000,2,3,1
104000,3,4,1
105000,1,2,1
106000,1,3,1
107000,1,3,1
108000,2,4,1
109000,1,2,1
110000,2,4,1
111000,1,4,0
112000,3,4,1
113000,3,4,1
114000,1,4,1
115000,1,2,1
116000,1,4,1
117000,1,4,1
118000,1,4,0
119000,3,4,0
120000,1,2,1
121000,2,3,1
122000,2,3,1
123000,1,2,1
124000,2,4,1
125000,1,2,1
126000,1,4,1
127000,2,3,1
128000,1,2,1
129000,2,4,1
130000,1,2,1
131000,1,2,1
132000,3,4,1
133000,1,2,1
134000,3,4,1
135000,2,3,1
136000,1,4,1
137000,3,4,1
138000,1,2,0
139000,1,2,0
140000,2,3,1
141000,1,3,1
142000,2,3,1
143000,3,4,1
144000,2,4,0
145000,1,2,1
146000,1,4,0
147000,1,2,1
148000,2,3,1
149000,3,4,1
150000,1,3,1
151000,1,4,1
152000,1,4,1
