QDGC,richness,QDGC_lon,QDGC_lat
E113S25DA,1,113.625,-25.625
E113S25DC,1,113.625,-25.875
E113S26AA,1,113.125,-26.125
E113S26DA,1,113.625,-26.625
E113S26DB,1,113.875,-26.625
E113S27BB,2,113.875,-27.125
E114S27AA,1,114.125,-27.125
E114S27AC,6,114.125,-27.375
E114S27BA,1,114.625,-27.125
E114S27BB,1,114.875,-27.125
E114S27BC,3,114.625,-27.375
E114S27CA,6,114.125,-27.625
E114S27CB,9,114.375,-27.625
E114S27CC,1,114.125,-27.875
E114S27CD,3,114.375,-27.875
E114S27DA,6,114.625,-27.625
E114S27DB,1,114.875,-27.625
E114S27DC,3,114.625,-27.875
E114S27DD,3,114.875,-27.875
E114S28AB,6,114.375,-28.125
E114S28BA,7,114.625,-28.125
E114S28BB,1,114.875,-28.125
E114S28BC,5,114.625,-28.375
E114S28DA,9,114.625,-28.625
E114S28DB,1,114.875,-28.625
E114S28DC,7,114.625,-28.875
E114S28DD,2,114.875,-28.875
E114S29BB,2,114.875,-29.125
E114S29DB,1,114.875,-29.625
E114S29DD,1,114.875,-29.875
E114S30BB,1,114.875,-30.125
E114S33BC,1,114.625,-33.375
E114S33DB,1,114.875,-33.625
E114S33DD,3,114.875,-33.875
E115S25CA,1,115.125,-25.625
E115S25DA,1,115.625,-25.625
E115S26AB,1,115.375,-26.125
E115S27CC,1,115.125,-27.875
E115S28AA,1,115.125,-28.125
E115S28AB,2,115.375,-28.125
E115S28AC,6,115.125,-28.375
E115S28AD,1,115.375,-28.375
E115S28BC,1,115.625,-28.375
E115S28BD,1,115.875,-28.375
E115S28CA,2,115.125,-28.625
E115S28CB,4,115.375,-28.625
E115S28CC,7,115.125,-28.875
E115S28CD,4,115.375,-28.875
E115S28DA,3,115.625,-28.625
E115S28DB,3,115.875,-28.625
E115S28DC,3,115.625,-28.875
E115S28DD,2,115.875,-28.875
E115S29AA,8,115.125,-29.125
E115S29AB,2,115.375,-29.125
E115S29AC,8,115.125,-29.375
E115S29AD,6,115.375,-29.375
E115S29BA,3,115.625,-29.125
E115S29BB,3,115.875,-29.125
E115S29BD,2,115.875,-29.375
E115S29CA,10,115.125,-29.625
E115S29CB,7,115.375,-29.625
E115S29CC,20,115.125,-29.875
E115S29CD,12,115.375,-29.875
E115S29DA,4,115.625,-29.625
E115S29DB,2,115.875,-29.625
E115S29DC,3,115.625,-29.875
E115S29DD,9,115.875,-29.875
E115S30AA,20,115.125,-30.125
E115S30AB,19,115.375,-30.125
E115S30AC,10,115.125,-30.375
E115S30AD,10,115.375,-30.375
E115S30BA,10,115.625,-30.125
E115S30BB,10,115.875,-30.125
E115S30BC,11,115.625,-30.375
E115S30BD,5,115.875,-30.375
E115S30CA,6,115.125,-30.625
E115S30CB,16,115.375,-30.625
E115S30CD,5,115.375,-30.875
E115S30DA,7,115.625,-30.625
E115S30DB,5,115.875,-30.625
E115S30DC,8,115.625,-30.875
E115S30DD,9,115.875,-30.875
E115S31AB,6,115.375,-31.125
E115S31AD,3,115.375,-31.375
E115S31BA,14,115.625,-31.125
E115S31BB,23,115.875,-31.125
E115S31BC,10,115.625,-31.375
E115S31BD,19,115.875,-31.375
E115S31DA,10,115.625,-31.625
E115S31DB,22,115.875,-31.625
E115S31DC,3,115.625,-31.875
E115S31DD,33,115.875,-31.875
E115S32BA,6,115.625,-32.125
E115S32BB,34,115.875,-32.125
E115S32BC,3,115.625,-32.375
E115S32BD,30,115.875,-32.375
E115S32DA,12,115.625,-32.625
E115S32DB,26,115.875,-32.625
E115S32DC,15,115.625,-32.875
E115S32DD,21,115.875,-32.875
E115S33BA,5,115.625,-33.125
E115S33BB,15,115.875,-33.125
E115S33BC,19,115.625,-33.375
E115S33BD,12,115.875,-33.375
E115S33CA,11,115.125,-33.625
E115S33CB,26,115.375,-33.625
E115S33CC,10,115.125,-33.875
E115S33CD,15,115.375,-33.875
E115S33DA,22,115.625,-33.625
E115S33DB,7,115.875,-33.625
E115S33DC,6,115.625,-33.875
E115S33DD,2,115.875,-33.875
E115S34AA,12,115.125,-34.125
E115S34AB,11,115.375,-34.125
E115S34AC,14,115.125,-34.375
E115S34AD,13,115.375,-34.375
E115S34BA,7,115.625,-34.125
E115S34BC,6,115.625,-34.375
E115S34BD,1,115.875,-34.375
E115S34DB,6,115.875,-34.625
E115S34DD,1,115.875,-34.875
E116S20DB,2,116.875,-20.625
E116S21DA,1,116.625,-21.625
E116S24BD,1,116.875,-24.375
E116S27DC,1,116.625,-27.875
E116S28BC,1,116.625,-28.375
E116S28CB,2,116.375,-28.625
E116S28DB,1,116.875,-28.625
E116S28DD,1,116.875,-28.875
E116S29AA,1,116.125,-29.125
E116S29AB,1,116.375,-29.125
E116S29AC,1,116.125,-29.375
E116S29AD,1,116.375,-29.375
E116S29BB,2,116.875,-29.125
E116S29BC,1,116.625,-29.375
E116S29BD,1,116.875,-29.375
E116S29CB,3,116.375,-29.625
E116S29CC,10,116.125,-29.875
E116S29CD,1,116.375,-29.875
E116S29DA,3,116.625,-29.625
E116S29DB,1,116.875,-29.625
E116S29DC,4,116.625,-29.875
E116S29DD,1,116.875,-29.875
E116S30AA,8,116.125,-30.125
E116S30AC,4,116.125,-30.375
E116S30AD,5,116.375,-30.375
E116S30BA,6,116.625,-30.125
E116S30BB,2,116.875,-30.125
E116S30BC,2,116.625,-30.375
E116S30BD,3,116.875,-30.375
E116S30CA,2,116.125,-30.625
E116S30CB,1,116.375,-30.625
E116S30CC,11,116.125,-30.875
E116S30CD,3,116.375,-30.875
E116S30DA,2,116.625,-30.625
E116S30DB,2,116.875,-30.625
E116S30DC,12,116.625,-30.875
E116S30DD,3,116.875,-30.875
E116S31AA,14,116.125,-31.125
E116S31AB,3,116.375,-31.125
E116S31AC,12,116.125,-31.375
E116S31AD,15,116.375,-31.375
E116S31BA,1,116.625,-31.125
E116S31BB,7,116.875,-31.125
E116S31BC,5,116.625,-31.375
E116S31BD,2,116.875,-31.375
E116S31CA,21,116.125,-31.625
E116S31CB,4,116.375,-31.625
E116S31CC,27,116.125,-31.875
E116S31CD,7,116.375,-31.875
E116S31DA,6,116.625,-31.625
E116S31DB,5,116.875,-31.625
E116S31DC,10,116.625,-31.875
E116S31DD,4,116.875,-31.875
E116S32AA,20,116.125,-32.125
E116S32AB,9,116.375,-32.125
E116S32AC,13,116.125,-32.375
E116S32AD,8,116.375,-32.375
E116S32BA,14,116.625,-32.125
E116S32BB,9,116.875,-32.125
E116S32BC,8,116.625,-32.375
E116S32BD,1,116.875,-32.375
E116S32CA,2,116.125,-32.625
E116S32CB,3,116.375,-32.625
E116S32CD,2,116.375,-32.875
E116S32DA,3,116.625,-32.625
E116S32DB,2,116.875,-32.625
E116S32DD,2,116.875,-32.875
E116S33AB,5,116.375,-33.125
E116S33AC,2,116.125,-33.375
E116S33AD,2,116.375,-33.375
E116S33BA,1,116.625,-33.125
E116S33BC,4,116.625,-33.375
E116S33BD,5,116.875,-33.375
E116S33CA,1,116.125,-33.625
E116S33CB,2,116.375,-33.625
E116S33CC,1,116.125,-33.875
E116S33CD,1,116.375,-33.875
E116S33DA,5,116.625,-33.625
E116S33DB,9,116.875,-33.625
E116S33DC,5,116.625,-33.875
E116S34AA,7,116.125,-34.125
E116S34AB,3,116.375,-34.125
E116S34AC,1,116.125,-34.375
E116S34AD,9,116.375,-34.375
E116S34BA,1,116.625,-34.125
E116S34BB,7,116.875,-34.125
E116S34BC,20,116.625,-34.375
E116S34BD,14,116.875,-34.375
E116S34CA,8,116.125,-34.625
E116S34CB,5,116.375,-34.625
E116S34CC,12,116.125,-34.875
E116S34CD,10,116.375,-34.875
E116S34DA,5,116.625,-34.625
E116S34DB,9,116.875,-34.625
E116S34DC,16,116.625,-34.875
E116S34DD,12,116.875,-34.875
E116S35BA,4,116.625,-35.125
E116S35BB,11,116.875,-35.125
E116S35CD,1,116.375,-35.875
E117S21AC,1,117.125,-21.375
E117S21DA,1,117.625,-21.625
E117S22BD,1,117.875,-22.375
E117S23AA,1,117.125,-23.125
E117S25DC,1,117.625,-25.875
E117S26BA,1,117.625,-26.125
E117S26DC,1,117.625,-26.875
E117S26DD,1,117.875,-26.875
E117S27AD,1,117.375,-27.375
E117S27BC,1,117.625,-27.375
E117S27DC,1,117.625,-27.875
E117S28CA,2,117.125,-28.625
E117S28CB,1,117.375,-28.625
E117S28CC,1,117.125,-28.875
E117S28CD,1,117.375,-28.875
E117S28DA,1,117.625,-28.625
E117S29AA,1,117.125,-29.125
E117S29AB,1,117.375,-29.125
E117S29AC,1,117.125,-29.375
E117S29AD,1,117.375,-29.375
E117S29BA,1,117.625,-29.125
E117S29CA,3,117.125,-29.625
E117S29CC,1,117.125,-29.875
E117S29CD,2,117.375,-29.875
E117S30AA,1,117.125,-30.125
E117S30BB,1,117.875,-30.125
E117S30BD,1,117.875,-30.375
E117S30CB,1,117.375,-30.625
E117S30CC,3,117.125,-30.875
E117S30CD,2,117.375,-30.875
E117S30DA,1,117.625,-30.625
E117S30DD,3,117.875,-30.875
E117S31AA,5,117.125,-31.125
E117S31AB,2,117.375,-31.125
E117S31AC,2,117.125,-31.375
E117S31AD,2,117.375,-31.375
E117S31BC,2,117.625,-31.375
E117S31BD,8,117.875,-31.375
E117S31CA,5,117.125,-31.625
E117S31CB,2,117.375,-31.625
E117S31CC,3,117.125,-31.875
E117S31CD,9,117.375,-31.875
E117S31DA,6,117.625,-31.625
E117S31DB,1,117.875,-31.625
E117S31DC,5,117.625,-31.875
E117S31DD,1,117.875,-31.875
E117S32AA,4,117.125,-32.125
E117S32AB,7,117.375,-32.125
E117S32AC,4,117.125,-32.375
E117S32AD,14,117.375,-32.375
E117S32BA,4,117.625,-32.125
E117S32BB,7,117.875,-32.125
E117S32BC,7,117.625,-32.375
E117S32BD,9,117.875,-32.375
E117S32CA,6,117.125,-32.625
E117S32CB,11,117.375,-32.625
E117S32CC,5,117.125,-32.875
E117S32CD,4,117.375,-32.875
E117S32DA,5,117.625,-32.625
E117S32DB,3,117.875,-32.625
E117S32DC,10,117.625,-32.875
E117S32DD,8,117.875,-32.875
E117S33AA,5,117.125,-33.125
E117S33AB,2,117.375,-33.125
E117S33AC,6,117.125,-33.375
E117S33AD,4,117.375,-33.375
E117S33BA,8,117.625,-33.125
E117S33BB,1,117.875,-33.125
E117S33BC,3,117.625,-33.375
E117S33BD,1,117.875,-33.375
E117S33CA,8,117.125,-33.625
E117S33CB,3,117.375,-33.625
E117S33CD,1,117.375,-33.875
E117S33DA,3,117.625,-33.625
E117S33DB,2,117.875,-33.625
E117S33DC,1,117.625,-33.875
E117S34AA,2,117.125,-34.125
E117S34AB,1,117.375,-34.125
E117S34AC,2,117.125,-34.375
E117S34AD,6,117.375,-34.375
E117S34BA,6,117.625,-34.125
E117S34BB,3,117.875,-34.125
E117S34BC,13,117.625,-34.375
E117S34BD,11,117.875,-34.375
E117S34CA,12,117.125,-34.625
E117S34CB,7,117.375,-34.625
E117S34CC,9,117.125,-34.875
E117S34CD,17,117.375,-34.875
E117S34DA,13,117.625,-34.625
E117S34DB,21,117.875,-34.625
E117S34DC,20,117.625,-34.875
E117S34DD,21,117.875,-34.875
E117S35AA,8,117.125,-35.125
E117S35AB,9,117.375,-35.125
E117S35BA,20,117.625,-35.125
E117S35BB,30,117.875,-35.125
E118S22AD,1,118.375,-22.375
E118S22BC,1,118.625,-22.375
E118S22DA,1,118.625,-22.625
E118S23DC,1,118.625,-23.875
E118S27AC,1,118.125,-27.375
E118S28AA,1,118.125,-28.125
E118S28CA,2,118.125,-28.625
E118S30AB,1,118.375,-30.125
E118S30CA,1,118.125,-30.625
E118S30CB,1,118.375,-30.625
E118S30CC,1,118.125,-30.875
E118S30DB,2,118.875,-30.625
E118S30DC,3,118.625,-30.875
E118S30DD,1,118.875,-30.875
E118S31AA,2,118.125,-31.125
E118S31AC,3,118.125,-31.375
E118S31AD,2,118.375,-31.375
E118S31BC,2,118.625,-31.375
E118S31BD,2,118.875,-31.375
E118S31CA,2,118.125,-31.625
E118S31CB,1,118.375,-31.625
E118S31CC,6,118.125,-31.875
E118S31CD,4,118.375,-31.875
E118S31DA,2,118.625,-31.625
E118S31DB,3,118.875,-31.625
E118S31DC,4,118.625,-31.875
E118S31DD,4,118.875,-31.875
E118S32AA,2,118.125,-32.125
E118S32AC,2,118.125,-32.375
E118S32AD,7,118.375,-32.375
E118S32BC,2,118.625,-32.375
E118S32CA,5,118.125,-32.625
E118S32CB,9,118.375,-32.625
E118S32CD,4,118.375,-32.875
E118S32DA,3,118.625,-32.625
E118S32DB,5,118.875,-32.625
E118S32DD,2,118.875,-32.875
E118S33AA,8,118.125,-33.125
E118S33AB,4,118.375,-33.125
E118S33AC,1,118.125,-33.375
E118S33AD,9,118.375,-33.375
E118S33BA,3,118.625,-33.125
E118S33BB,4,118.875,-33.125
E118S33BC,2,118.625,-33.375
E118S33BD,6,118.875,-33.375
E118S33CA,5,118.125,-33.625
E118S33CB,6,118.375,-33.625
E118S33CD,1,118.375,-33.875
E118S33DA,1,118.625,-33.625
E118S33DC,3,118.625,-33.875
E118S33DD,7,118.875,-33.875
E118S34AA,5,118.125,-34.125
E118S34AB,2,118.375,-34.125
E118S34AC,14,118.125,-34.375
E118S34AD,14,118.375,-34.375
E118S34BA,5,118.625,-34.125
E118S34BB,2,118.875,-34.125
E118S34BC,11,118.625,-34.375
E118S34BD,8,118.875,-34.375
E118S34CA,13,118.125,-34.625
E118S34CB,3,118.375,-34.625
E118S34CC,24,118.125,-34.875
E118S34CD,14,118.375,-34.875
E118S34DA,15,118.625,-34.625
E118S34DB,6,118.875,-34.625
E118S35AA,5,118.125,-35.125
E119S21BC,1,119.625,-21.375
E119S27CB,1,119.375,-27.625
E119S28BA,1,119.625,-28.125
E119S29DD,1,119.875,-29.875
E119S30BB,2,119.875,-30.125
E119S30BC,5,119.625,-30.375
E119S30BD,1,119.875,-30.375
E119S30CC,1,119.125,-30.875
E119S31AA,1,119.125,-31.125
E119S31AB,1,119.375,-31.125
E119S31AC,2,119.125,-31.375
E119S31AD,1,119.375,-31.375
E119S31BC,3,119.625,-31.375
E119S31BD,1,119.875,-31.375
E119S31CA,1,119.125,-31.625
E119S31CB,1,119.375,-31.625
E119S31CC,1,119.125,-31.875
E119S31DA,1,119.625,-31.625
E119S31DC,1,119.625,-31.875
E119S31DD,1,119.875,-31.875
E119S32AA,1,119.125,-32.125
E119S32AB,1,119.375,-32.125
E119S32AC,1,119.125,-32.375
E119S32AD,8,119.375,-32.375
E119S32BC,6,119.625,-32.375
E119S32BD,1,119.875,-32.375
E119S32CA,4,119.125,-32.625
E119S32CB,4,119.375,-32.625
E119S32CC,10,119.125,-32.875
E119S32CD,4,119.375,-32.875
E119S32DA,2,119.625,-32.625
E119S32DB,2,119.875,-32.625
E119S32DC,1,119.625,-32.875
E119S32DD,7,119.875,-32.875
E119S33AA,4,119.125,-33.125
E119S33AB,2,119.375,-33.125
E119S33AD,6,119.375,-33.375
E119S33BA,12,119.625,-33.125
E119S33BB,9,119.875,-33.125
E119S33BC,5,119.625,-33.375
E119S33BD,11,119.875,-33.375
E119S33CA,3,119.125,-33.625
E119S33CB,1,119.375,-33.625
E119S33CC,3,119.125,-33.875
E119S33CD,10,119.375,-33.875
E119S33DA,1,119.625,-33.625
E119S33DB,6,119.875,-33.625
E119S33DC,3,119.625,-33.875
E119S33DD,9,119.875,-33.875
E119S34AA,3,119.125,-34.125
E119S34AB,19,119.375,-34.125
E119S34AC,7,119.125,-34.375
E119S34AD,14,119.375,-34.375
E119S34BA,11,119.625,-34.125
E120S29AA,1,120.125,-29.125
E120S29AD,1,120.375,-29.375
E120S29CC,1,120.125,-29.875
E120S29DC,1,120.625,-29.875
E120S29DD,1,120.875,-29.875
E120S30AB,1,120.375,-30.125
E120S30BA,1,120.625,-30.125
E120S30BC,3,120.625,-30.375
E120S30CA,2,120.125,-30.625
E120S30CB,2,120.375,-30.625
E120S30CC,1,120.125,-30.875
E120S30CD,5,120.375,-30.875
E120S30DC,1,120.625,-30.875
E120S31AA,4,120.125,-31.125
E120S31AB,5,120.375,-31.125
E120S31AC,1,120.125,-31.375
E120S31BA,1,120.625,-31.125
