QDGC,richness,QDGC_lon,QDGC_lat
2925CC,1,29.125,-25.875
3025CB,1,30.375,-25.625
2828DB,1,28.875,-28.625
2928CC,1,29.125,-28.875
3128DC,1,31.625,-28.875
3228AB,2,32.375,-28.125
3228AD,1,32.375,-28.375
3228CB,1,32.375,-28.625
2929AA,1,29.125,-29.125
2929AB,1,29.375,-29.125
2929AD,1,29.375,-29.375
2929BC,1,29.625,-29.375
2929CA,1,29.125,-29.625
2929CB,1,29.375,-29.625
2929CC,1,29.125,-29.875
3029DD,1,30.875,-29.875
1830AC,3,18.125,-30.375
1830CB,1,18.375,-30.625
2930DA,1,29.625,-30.625
3030BC,2,30.625,-30.375
3030CC,1,30.125,-30.875
1731BB,2,17.875,-31.125
1831DC,1,18.625,-31.875
1931CA,2,19.125,-31.625
2631DD,1,26.875,-31.875
2731AB,1,27.375,-31.125
2831AA,1,28.125,-31.125
2831CA,1,28.125,-31.625
2931BD,1,29.875,-31.375
2931DA,1,29.625,-31.625
3031AA,2,30.125,-31.125
1832BB,3,18.875,-32.125
1832CD,1,18.375,-32.875
1832DB,6,18.875,-32.625
1832DC,1,18.625,-32.875
1832DD,1,18.875,-32.875
1932AA,7,19.125,-32.125
1932AC,6,19.125,-32.375
1932CA,4,19.125,-32.625
1932CB,2,19.375,-32.625
1932CC,2,19.125,-32.875
1932CD,2,19.375,-32.875
2032AB,1,20.375,-32.125
2332BD,1,23.875,-32.375
2432AA,1,24.125,-32.125
2532DA,1,25.625,-32.625
2632BD,1,26.875,-32.375
2632DB,3,26.875,-32.625
2732CA,3,27.125,-32.625
2732CC,1,27.125,-32.875
2732CD,1,27.375,-32.875
2732DD,1,27.875,-32.875
2832CB,3,28.375,-32.625
1833AB,1,18.375,-33.125
1833AD,3,18.375,-33.375
1833BB,4,18.875,-33.125
1833BC,2,18.625,-33.375
1833CD,14,18.375,-33.875
1833DA,2,18.625,-33.625
1833DB,3,18.875,-33.625
1833DC,3,18.625,-33.875
1833DD,12,18.875,-33.875
1933AA,7,19.125,-33.125
1933AB,7,19.375,-33.125
1933AC,10,19.125,-33.375
1933AD,10,19.375,-33.375
1933BA,2,19.625,-33.125
1933BB,1,19.875,-33.125
1933BC,6,19.625,-33.375
1933BD,2,19.875,-33.375
1933CA,16,19.125,-33.625
1933CB,9,19.375,-33.625
1933CC,14,19.125,-33.875
1933CD,5,19.375,-33.875
1933DA,4,19.625,-33.625
1933DC,8,19.625,-33.875
1933DD,1,19.875,-33.875
2033AB,2,20.375,-33.125
2033BC,2,20.625,-33.375
2033CD,7,20.375,-33.875
2033DA,3,20.625,-33.625
2033DB,1,20.875,-33.625
2033DC,3,20.625,-33.875
2033DD,6,20.875,-33.875
2133AC,2,21.125,-33.375
2133AD,4,21.375,-33.375
2133BC,1,21.625,-33.375
2133CB,1,21.375,-33.625
2133CC,8,21.125,-33.875
2133CD,3,21.375,-33.875
2133DA,4,21.625,-33.625
2133DC,1,21.625,-33.875
2133DD,1,21.875,-33.875
2233AC,4,22.125,-33.375
2233AD,2,22.375,-33.375
2233CC,4,22.125,-33.875
2233CD,5,22.375,-33.875
2233DB,2,22.875,-33.625
2233DC,4,22.625,-33.875
2333BA,1,23.625,-33.125
2333BC,1,23.625,-33.375
2333CA,1,23.125,-33.625
2333CB,3,23.375,-33.625
2333CC,1,23.125,-33.875
2333DA,1,23.625,-33.625
2333DC,6,23.625,-33.875
2333DD,5,23.875,-33.875
2433BD,1,24.875,-33.375
2433CA,1,24.125,-33.625
2433CB,4,24.375,-33.625
2433CD,2,24.375,-33.875
2433DB,3,24.875,-33.625
2433DC,1,24.625,-33.875
2433DD,1,24.875,-33.875
2533AD,2,25.375,-33.375
2533BC,2,25.625,-33.375
2533BD,1,25.875,-33.375
2533CA,2,25.125,-33.625
2533CB,1,25.375,-33.625
2533CC,1,25.125,-33.875
2533CD,2,25.375,-33.875
2533DB,1,25.875,-33.625
2533DC,4,25.625,-33.875
2633AA,1,26.125,-33.125
2633AD,2,26.375,-33.375
2633BC,4,26.625,-33.375
2633BD,3,26.875,-33.375
2633CB,2,26.375,-33.625
2633DA,2,26.625,-33.625
2633DB,1,26.875,-33.625
2733AA,1,27.125,-33.125
2733AC,1,27.125,-33.375
2733BB,1,27.875,-33.125
1834AB,15,18.375,-34.125
1834AD,8,18.375,-34.375
1834BA,3,18.625,-34.125
1834BB,11,18.875,-34.125
1834BD,17,18.875,-34.375
1934AA,15,19.125,-34.125
1934AB,5,19.375,-34.125
1934AC,10,19.125,-34.375
1934AD,11,19.375,-34.375
1934BA,9,19.625,-34.125
1934BB,3,19.875,-34.125
1934BC,2,19.625,-34.375
1934BD,12,19.875,-34.375
1934CB,2,19.375,-34.625
1934DA,10,19.625,-34.625
1934DB,4,19.875,-34.625
1934DC,2,19.625,-34.875
1934DD,2,19.875,-34.875
2034AB,1,20.375,-34.125
2034AC,2,20.125,-34.375
2034AD,8,20.375,-34.375
2034BC,7,20.625,-34.375
2034BD,2,20.875,-34.375
2034CA,2,20.125,-34.625
2034CB,1,20.375,-34.625
2034CC,2,20.125,-34.875
2134AB,4,21.375,-34.125
2134BA,1,21.625,-34.125
2134BC,2,21.625,-34.375
2134BD,3,21.875,-34.375
2234AB,3,22.375,-34.125
2234BB,2,22.875,-34.125
2334AA,7,23.125,-34.125
2334AB,2,23.375,-34.125
2434AA,6,24.125,-34.125
2434AB,2,24.375,-34.125
2434BA,3,24.625,-34.125
2434BB,6,24.875,-34.125
