Species,Fynbos (1 is Y),Kwonga (1 is Y)
Schoenus acuminatus,0,1
Schoenus albovaginatus,1,0
Schoenus andinus,0,0
Schoenus antarcticus,0,0
Schoenus apogon,0,0
Schoenus arenicola,1,0
Schoenus armeria,0,1
Schoenus aureus,1,0
Schoenus auritus,1,0
Schoenus australis,1,0
Schoenus badius,0,1
Schoenus bifidus,0,1
Schoenus bolusii,1,0
Schoenus breviculmis,0,1
Schoenus brevifolius,0,0
Schoenus brevisetis,0,1
Schoenus brunnescens,1,0
Schoenus caespititius,0,1
Schoenus calcatus,0,1
Schoenus calceolus,1,0
Schoenus calostachyus,0,0
Schoenus calyptratus,0,0
Schoenus carsei,0,1
Schoenus centralis,0,0
Schoenus clandestinus,0,1
Schoenus compactus,1,0
Schoenus compar,1,0
Schoenus comparoides,1,0
Schoenus complanatus,1,0
Schoenus crassiculmis,1,0
Schoenus crassus,1,0
Schoenus crinitus,1,0
Schoenus cuspidatus,1,0
Schoenus deformis,0,0
Schoenus discifer,0,1
Schoenus dregeanus,1,0
Schoenus efoliatus,0,1
Schoenus ericetorum,0,0
Schoenus exilis,1,0
Schoenus falcatus,0,0
Schoenus ferrugineus,0,0
Schoenus fluitans,0,1
Schoenus galpinii,0,0
Schoenus graciliculmis,1,0
Schoenus gracillimus,1,0
Schoenus graminifolius,1,0
Schoenus griffinianus,0,1
Schoenus humilis,0,1
Schoenus imberbis,0,0
Schoenus indutus,0,1
Schoenus insolitus,0,1
Schoenus kennyi,0,0
Schoenus laevigatus,0,1
Schoenus lanatus,0,1
Schoenus latelaminatus,0,0
Schoenus lepidosperma,0,0
Schoenus ligulatus,1,0
Schoenus limosus,0,0
Schoenus loreus,0,0
Schoenus lucidus,1,0
Schoenus lymansmithii,0,0
Schoenus maschalinus,0,0
Schoenus megacarpus,1,0
Schoenus melanostachys,0,0
Schoenus minutulus,0,1
Schoenus moorei,0,0
Schoenus multiglumis,0,1
Schoenus nanus,0,1
Schoenus neocaledonicus,0,0
Schoenus neovillosus,1,0
Schoenus nigricans,1,1
Schoenus nitens,0,1
Schoenus obtusifolius,0,1
Schoenus odontocarpus,0,1
Schoenus ornithopodioides,0,0
Schoenus pauciflorus,0,0
Schoenus pennisetis,0,1
Schoenus pictus,1,0
Schoenus pleiostemoneus,0,1
Schoenus plumosus,0,1
Schoenus pseudoloreus,1,0
Schoenus pygmaeus,0,0
Schoenus quadrangularis,1,0
Schoenus quartziticus,1,0
Schoenus racemosus,0,1
Schoenus rigens,0,1
Schoenus rigidus,1,0
Schoenus scabripes,0,0
Schoenus sculptus,0,1
Schoenus selinae,1,0
Schoenus sesquispicula,0,1
Schoenus sparteus,0,0
Schoenus subaphyllus,0,1
Schoenus subbarbatus,0,1
Schoenus subfascicularis,0,1
Schoenus subflavus,0,1
Schoenus sublateralis,0,1
Schoenus sublaxus,0,1
Schoenus submarginalis,1,0
Schoenus submicrostachyus,0,1
Schoenus tendo,0,0
Schoenus tenellus,0,0
Schoenus thedae,0,0
Schoenus trachycarpus,0,1
Schoenus triticoides,1,0
Schoenus unispiculatus,0,1
Schoenus vaginatus,0,0
Schoenus variicellae,0,1
Schoenus villosus,0,0
Schoenus yarrabensis,0,0
