Species,Specimen,Voucher,ETS,ITS,rbcL,rps16,trn,Total-markers
Anthelepis paludosa,Ant_paludosa-KW9858,Wilson 9858,0,0,0,0,1,1
Baumea arthrophylla,Bau_arthrophylla-AK289619,AK289619,0,1,0,0,0,1
Baumea arthrophylla,Bau_arthrophylla-AK289627,AK289627,0,1,0,0,0,1
Baumea articulata,Bau_articulata-AK84529,AK284529,0,1,0,0,0,1
Baumea articulata,Bau_articulata-BES21-2007,Besnard 21-2007,0,0,1,0,0,1
Capeobolus brevicaulis,Cap_brevicaulis-209,TE2016_209,1,0,0,0,0,1
Capeobolus brevicaulis,Cap_brevicaulis-M1238,Muasya 1238,0,0,1,0,0,1
Capeobolus brevicaulis,Cap_brevicaulis-V646,Verboom 646,1,1,1,0,1,4
Carpha alpina,Car_alpina-AK287909,AF307909,0,0,1,0,0,1
Carpha alpina,Car_alpina-AK289109,AK289109,0,1,0,0,0,1
Carpha alpina,Car_alpina-BR1888C,Bruhl 1888C,0,1,0,0,0,1
Carpha alpina,Car_alpina-PUL5088,Pullen 5088,0,1,0,0,0,1
Carpha alpina,Car_alpina-XZ13,Zhang 13 & Wilson,0,0,0,0,1,1
Carpha capitellata var. bracteosa,Car_capiellata-M4759,Muasya 4759,1,0,0,0,0,1
Carpha capitellata,Car_capitellata-JB1718,JB1718,0,0,0,0,1,1
Carpha capitellata,Car_capitellata-M4759,Muasya 4759,0,0,0,1,0,1
Carpha capitellata var. bracteosa,Car_capitellata_bracteosa-M4759,Muasya 4759,0,0,1,0,0,1
Carpha glomerata,Car_glomerata-M1176,Muasya 1176,0,0,1,1,0,2
Carpha glomerata,Car_glomerata-M5863,Muasya 5863,1,1,0,0,0,2
Carpha nitens,Car_nitens-KEW11893,KEW11893,0,0,0,0,1,1
Carpha rodwayi,Car_rodwayi-BR1881B,Bruhl 1881B,0,1,0,0,0,1
Carpha rodwayi,Car_rodwayi-BR1890B,Bruhl 1890B,0,1,0,0,0,1
Carex diandra,Carex_diandra-B0223,B0223,0,0,1,0,0,1
Carex diandra,Carex_diandra-MK525410,MK525410,0,0,1,0,0,1
Caustis blakei var. blakei,Cau_blakei-BR2431,Bruhl 2431,0,1,0,0,0,1
Caustis blakei,Cau_blakei-Br2046,Bruhl 2046,1,0,0,0,0,1
Caustis blakei subsp. Blakei,Cau_blakei-TEL12780,Telford 12780,0,0,0,0,1,1
Caustis blakei var. macrantha,Cau_blakei_macrantha-BR2046,Bruhl 2046,0,1,0,0,0,1
Caustis dioica,Cau_dioica-Ch2225,Chase 2225,1,0,0,1,0,2
Caustis dioica,Cau_dioica-Y12976,Y12976,0,0,1,0,0,1
Caustis blakei,Cau_flexuosa-BR2046,Bruhl 2046,0,0,1,0,0,1
Caustis flexuosa,Cau_flexuosa-BR2052,Bruhl 2052,0,1,0,0,0,1
Caustis flexuosa,Cau_flexuosa-BR2583,Bruhl 2583,0,1,0,0,0,1
Caustis flexuosa,Cau_flexuosa-COV9239,Coveny 9239,0,0,1,0,0,1
Caustis flexuosa,Cau_flexuosa-HOD2052,Hodgon 2052,0,0,0,0,1,1
Tetraria borneensis,Cos_borneensis-A9876,Anderson 9876,1,0,0,0,1,2
Costularia fragilis,Cos_fragilis-MCK41617,McKee41617,0,0,1,0,0,1
Costularia fragilis,Cos_fragilis-WEB14967,Webster & R. Hildreth 14967,1,1,0,0,1,3
Costularia hornei,Cos_hornei-Sen7107,Senterre & E.Henriette 7107,1,0,0,0,1,2
Costularia laxa,Cos_lax-RAK3033,Rakotovao 3033,0,1,0,0,1,2
Costularia laxa,Cos_laxa-G2706,Gautier & Chantelain,0,0,0,0,1,1
Costularia leucocarpa,Cos_leucocarpa-L2010-0140,Larridon 2010-0140,0,0,0,1,0,1
Costularia leucocarpa,Cos_leucocarpa-L2010-0237,Larridon et a. 2010-0237,0,1,0,0,1,2
Costularia melicoides,Cos_melicoides-LAM5257,Lam & Meeuse 5257,0,1,0,0,1,2
Costularia melleri,Cos_melleri-L2010-0249,Larridon et a. 2010-0249,0,1,0,0,1,2
Costularia natalensis,Cos_natalensis-BROW531,Browning 531,0,1,0,0,1,2
Costularia natalensis,Cos_natalensis-Br531,Browning 531,1,0,0,0,0,1
Costularia natalensis,Cos_natalensis-RE1754,Reid 1754,0,0,1,0,0,1
Costularia natalensis,Cos_natalensis-V773,Verboom 773,1,1,1,0,1,4
Costularia nervosa,Cos_nervosa-J2378,T.Jaffre 2378,1,0,0,0,1,2
Costularia nervosa,Cos_nervosa-JAF2378,T. Jaffre 2378,0,1,0,0,0,1
Costularia nervosa,Cos_nervosa-KW9939,KW9939,0,0,0,0,1,1
Costularia pantopoda var.  baronii,Cos_pantopoda_baronii-L2010-0139,Larridon et al. 2010-0139,0,0,1,1,0,2
Costularia pantopoda var.  baronii,Cos_pantopoda_baronii-L2010-0153,Larridon et a. 2010-0153,0,1,0,0,1,2
Costularia pantopoda var. pantopoda,Cos_pantopoda_pantopoda-L2010-0144,Larridon et a. 2010-0144,0,1,1,0,1,3
Costularia pantopoda var. robusta,Cos_pantopoda_robusta-RAZA431,L.J. Razafitsalama 531,0,1,0,0,1,2
Costularia purpurea,Cos_purpurea-ARM74,Armand 74,0,1,0,0,0,1
Costularia xipholepis,Cos_xipholepis-SENT6964,Senterre & E. Henriette 6964,0,1,0,0,1,2
Costularia xyridioides,Cos_xyridioides-BR3260,Bruhl 3260,0,1,0,0,1,2
Cyathocoma bachmanii,Cya_bachmanii-Brow835,Browning 835,0,0,0,0,1,1
Cyathocoma hexandra,Cya_hexandra-V648,Verboom 648,1,0,0,0,1,2
