generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Schoenus_insolitus,Schoenus_dregeanus,0,0.0731018,0,0.005,0
10000,Schoenus_insolitus,Schoenus_dregeanus,0,0.127374,-0.00685391,0.00800777,0
10000,Schoenus_insolitus,NA,42.884,0.0766419,0.0146146,0.248084,0
20000,Schoenus_insolitus,Schoenus_dregeanus,0,0.160786,-0.0144973,0.00358779,0
30000,Schoenus_insolitus,Schoenus_dregeanus,0,0.200081,-0.0239122,0.00310594,0
40000,Schoenus_insolitus,Schoenus_dregeanus,0,0.183135,-0.0146873,0.012673,0
50000,Schoenus_insolitus,Schoenus_dregeanus,0,0.0822613,0.000620834,0.000846565,0
60000,Schoenus_insolitus,Schoenus_dregeanus,0,0.0731218,0.00201026,0.00185326,0
60000,Schoenus_calceolus,NA,46.1824,0.369245,0.0429553,0.225412,0
70000,Schoenus_insolitus,Schoenus_dregeanus,0,0.127267,-0.00791024,0.0143065,0
80000,Schoenus_insolitus,Schoenus_dregeanus,0,0.0599681,0.0143002,0.0105032,0
90000,Schoenus_insolitus,Schoenus_dregeanus,0,0.171305,-0.0142688,0.00684566,0
100000,Schoenus_insolitus,Schoenus_dregeanus,0,0.150837,-0.0148383,0.00330907,0
110000,Schoenus_insolitus,Schoenus_dregeanus,0,0.121126,-0.00406557,0.0297991,0
120000,Schoenus_insolitus,Schoenus_dregeanus,0,0.0571234,0.0405859,0.000681763,0
130000,Schoenus_insolitus,Schoenus_dregeanus,0,0.15723,-0.016826,0.00168352,0
140000,Schoenus_insolitus,Schoenus_dregeanus,0,0.172098,-0.0158339,0.00555263,0
140000,Schoenus_dregeanus,NA,49.1649,0.0779146,0.00347062,0.415579,0
150000,Schoenus_insolitus,Schoenus_dregeanus,0,0.219941,-0.0223994,0.0046553,0
160000,Schoenus_insolitus,Schoenus_dregeanus,0,0.147915,-0.0128615,0.00398955,0
