generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.73918,-397.246,1,1
10000,1,5.34543,-392.332,1.04852,0.3257
20000,0,2.82365,-393.627,0.462028,0.330733
30000,0,2.55863,-396.14,0.23743,0.329089
40000,0,2.26645,-394.57,0.929958,0.326367
50000,0,3.48228,-394.463,0.243206,0.3257
60000,1,3.85761,-397.635,0.281951,0.333111
70000,0,2.07533,-394.619,1.42865,0.3414
80000,0,3.45751,-396.685,0.0832079,0.347625
90000,0,3.06322,-394.028,0.192964,0.345
100000,0,2.81802,-393.991,0.484082,0.3387
110000,0,3.45265,-396.559,0.0757708,0.33755
120000,0,0.767355,-396.874,1.26411,0.34245
130000,0,2.06129,-394.335,1.16087,0.34125
140000,1,5.02872,-393.485,0.803352,0.3235
150000,0,2.14111,-394.511,0.6731,0.32965
160000,0,2.69729,-393.632,0.669311,0.339157
170000,1,4.88958,-394.861,0.646535,0.3388
180000,0,0.765407,-395.972,1.51276,0.33424
190000,0,2.8276,-395.67,0.23999,0.3531
200000,0,1.05494,-393.575,2.29046,0.3144
210000,0,3.28026,-394.591,0.0639538,0.331825
220000,0,2.62191,-393.587,0.927496,0.33915
230000,0,2.76098,-393.943,0.522395,0.335363
240000,0,1.88682,-396.883,1.84953,0.3426
250000,0,3.10023,-394.035,0.146716,0.337875
260000,0,2.55697,-396.189,0.0358592,0.3362
270000,0,2.68212,-396.322,0.795347,0.33905
280000,0,3.05389,-395.809,0.20607,0.34275
290000,0,2.61754,-394.839,0.198012,0.3253
300000,0,3.01818,-394.24,0.291317,0.3379
310000,0,2.74034,-396.232,0.560588,0.3451
320000,0,2.51097,-397.27,0.0459276,0.33294
330000,0,2.16046,-395.619,0.30256,0.334014
340000,0,2.32171,-395.284,1.31846,0.332233
350000,0,2.16234,-398.235,0.306519,0.340133
360000,0,2.12319,-396.569,1.27126,0.339133
370000,1,3.61328,-396.075,1.12783,0.3437
380000,0,3.42683,-395.913,0.258014,0.3287
390000,0,3.52692,-395.431,0.159682,0.327233
400000,0,1.93295,-396.086,1.43857,0.3342
410000,0,2.96069,-394.897,0.696558,0.3479
420000,2,3.54095,-397.223,2.80284,0.332537
430000,0,2.89163,-393.875,0.416791,0.3342
440000,0,3.3767,-395.32,0.183449,0.332978
450000,0,2.93601,-395.197,0.743,0.329133
460000,0,3.59472,-396.484,0.0986942,0.324
470000,0,3.24302,-394.822,0.146089,0.332367
480000,0,2.09956,-395.529,0.382028,0.3355
490000,1,2.96739,-399.053,1.35302,0.3258
500000,0,3.60911,-395.01,0.0851978,0.3242
510000,0,2.81383,-394.409,0.546705,0.3249
520000,0,3.18972,-394.802,0.1396,0.328757
530000,1,4.41716,-395.773,0.887382,0.329067
540000,0,2.46464,-395.471,1.1549,0.34015
550000,0,2.61562,-396.422,0.302375,0.3178
560000,0,2.97584,-393.387,0.362426,0.324667
570000,0,2.451,-394.4,0.609505,0.3418
580000,0,3.26613,-393.992,0.102186,0.334747
590000,0,2.6036,-396.198,1.06837,0.335675
600000,3,9.04727,-398.357,2.05359,0.3663
610000,1,3.81637,-391.312,2.83328,0.34118
620000,0,2.80776,-393.752,0.773026,0.33555
630000,0,3.04655,-395.847,0.104803,0.332467
640000,0,3.11154,-393.805,0.302151,0.327767
650000,0,2.52047,-395.661,0.683685,0.3289
660000,0,3.11356,-394.679,0.593026,0.327925
670000,0,1.61689,-394.238,1.53764,0.335167
680000,0,3.3299,-393.902,0.35577,0.3317
690000,0,3.51241,-396.282,0.0667251,0.3421
700000,0,3.29081,-395.077,0.0618038,0.32626
710000,0,1.91227,-394.397,0.928409,0.3155
720000,0,3.50336,-394.365,0.16769,0.32946
730000,0,2.91188,-399.915,0.512057,0.330707
740000,0,3.44403,-395.711,0.000946599,0.33384
